code,date,open,high,low,close,volume,close_adj
3998,2017-12-19,4345,4400,3645,3675,369600,3675
3998,2017-12-20,3415,3515,3300,3430,172700,3430
3998,2017-12-21,3430,3600,3205,3355,223300,3355
3998,2017-12-22,3425,3650,3420,3500,168100,3500
3998,2017-12-25,3600,3635,3415,3475,98400,3475
3998,2017-12-26,3450,3480,3300,3325,74300,3325
3998,2017-12-27,3490,3820,3435,3695,327500,3695
3998,2017-12-28,3765,3800,3430,3520,176900,3520
3998,2017-12-29,3560,3630,3480,3545,50700,3545
3998,2018-01-04,3575,3605,3470,3480,40300,3480
3998,2018-01-05,3485,3520,3320,3345,51800,3345
3998,2018-01-09,3340,3340,3260,3320,34200,3320
3998,2018-01-10,3290,3330,3250,3320,38400,3320
3998,2018-01-11,3335,3390,3280,3295,33500,3295
3998,2018-01-12,3320,3850,3295,3755,230200,3755
3998,2018-01-15,3675,3750,3555,3610,79600,3610
3998,2018-01-16,3575,3730,3515,3640,80100,3640
3998,2018-01-17,3570,3615,3530,3570,40400,3570
3998,2018-01-18,3615,3935,3615,3700,224000,3700
3998,2018-01-19,3800,4400,3800,4400,412700,4400
3998,2018-01-22,4380,4880,4190,4555,655700,4555
3998,2018-01-23,4610,4670,4200,4345,234300,4345
3998,2018-01-24,4345,4360,4050,4080,95700,4080
3998,2018-01-25,4010,4155,3980,4030,100000,4030
3998,2018-01-26,4080,4390,4060,4260,206900,4260
3998,2018-01-29,4250,4280,4005,4025,95900,4025
3998,2018-01-30,4095,4130,3820,3880,132400,3880
3998,2018-01-31,3815,4030,3810,3955,83000,3955
3998,2018-02-01,4090,4095,3905,3965,62200,3965
3998,2018-02-02,3920,3920,3780,3875,55700,3875
3998,2018-02-05,3665,3730,3580,3660,74200,3660
3998,2018-02-06,3250,3390,2960,3105,133600,3105
3998,2018-02-07,3310,3340,3100,3100,73000,3100
3998,2018-02-08,3660,3800,3590,3800,80000,3800
3998,2018-02-09,3500,4030,3430,4020,293500,4020
3998,2018-02-13,4120,4160,3700,3770,84300,3770
3998,2018-02-14,3700,3840,3530,3755,37600,3755
3998,2018-02-15,3810,3880,3635,3670,33900,3670
3998,2018-02-16,3725,3920,3700,3840,37900,3840
3998,2018-02-19,3920,3990,3870,3940,39700,3940
3998,2018-02-20,3990,4065,3900,3945,41600,3945
3998,2018-02-21,3950,4305,3945,4300,91000,4300
3998,2018-02-22,4255,4375,4095,4355,105500,4355
3998,2018-02-23,4460,5060,4380,4915,808900,4915
